collection,event_category,event_title,event_descriptor,quotation,quotation_author,quote_source,author_image
A Survey in Western Literature I,ASWL1_E1,Myth and Classical Archetypes,"We begin with the essential tools for a critical study of literature: classical archetypes, myth—not mythology—and dialectics.","I therefore claim to show, not how men think in myths, but how myths operate in men’s minds without their being aware of the fact.",Claude Levi-Strauss,"Strauss, Claude. The Raw and the Cooked. Chicago: University of Chicago Press, 1983. Print.",
A Survey in Western Literature I,ASWL1_E2,An Introduction to Drama,"An understanding of the fundamentals of drama, specifically the tragic form, is undertaken.",Drama is life with the dull bits cut out.,Alfred Hitchcock,"1956 March 2, The Pittsburgh Press, The Lyons Den by Leonard Lyons, Quote Page 19, Column 2, Pittsburgh, Pennsylvania.",
